Time [s],Value
1.027560875000000,0b  0000  0000  0000  0101
1.027561875000000,0b  0000  0000  0000  0101
1.027562875000000,0b  0000  0000  0000  0101
1.027563875000000,0b  0000  0000  0000  0101
1.027564875000000,0b  0000  0000  0000  0101
1.027565875000000,0b  0000  0000  0000  0101
1.027566875000000,0b  0000  0000  0000  0101
1.027567875000000,0b  0000  0000  0000  0101
1.027568875000000,0b  0000  0000  0000  0101
1.027569875000000,0b  0000  0000  0000  0101
1.027570875000000,0b  0000  0000  0000  0101
1.027571875000000,0b  0000  0000  0000  0101
1.027572875000000,0b  0000  0000  0000  0101
1.027573875000000,0b  0000  0000  0000  0101
1.027574875000000,0b  0000  0000  0000  0101
1.027575875000000,0b  0000  0000  0000  0111
1.027576875000000,0b  0000  0000  0000  0101
1.027577875000000,0b  0000  0000  0000  0101
1.027578875000000,0b  0000  0000  0000  0101
1.027579875000000,0b  0000  0000  0000  0101
1.027580875000000,0b  0000  0000  0000  0101
1.027581875000000,0b  0000  0000  0000  0101
1.027582875000000,0b  0000  0000  0000  0101
1.027583875000000,0b  0000  0000  0000  0101
1.027584875000000,0b  0000  0000  0000  0101
1.027585875000000,0b  0000  0000  0000  0101
1.027586875000000,0b  0000  0000  0000  0101
1.027587875000000,0b  0000  0000  0000  0101
1.027588875000000,0b  0000  0000  0000  0101
1.027589875000000,0b  0000  0000  0000  0101
1.027590875000000,0b  0000  0000  0000  0101
1.027591875000000,0b  0000  0000  0000  0101
1.027592875000000,0b  0000  0000  0000  0101
1.027593875000000,0b  0000  0000  0000  0101
1.027594875000000,0b  0000  0000  0000  0101
1.027595875000000,0b  0000  0000  0000  0101
1.027596875000000,0b  0000  0000  0000  0101
1.027597875000000,0b  0000  0000  0000  0111
1.027599250000000,0b  0000  0000  0000  0101
1.027600250000000,0b  0000  0000  0000  0101
1.027601250000000,0b  0000  0000  0000  0101
1.027602250000000,0b  0000  0000  0000  0101
1.027603250000000,0b  0000  0000  0000  0101
1.027604250000000,0b  0000  0000  0000  0101
1.027605250000000,0b  0000  0000  0000  0101
1.027606250000000,0b  0000  0000  0000  0101
1.027607250000000,0b  0000  0000  0000  0101
1.027608250000000,0b  0000  0000  0000  0111
1.027609250000000,0b  0000  0000  0000  0101
1.027610250000000,0b  0000  0000  0000  0101
1.027611250000000,0b  0000  0000  0000  0111
1.027612312500000,0b  0000  0000  0000  0101
1.027613312500000,0b  0000  0000  0000  0111
1.027614562500000,0b  0000  0000  0000  0101
1.027615562500000,0b  0000  0000  0000  0101
1.027616562500000,0b  0000  0000  0000  0101
1.027617562500000,0b  0000  0000  0000  0101
1.027618562500000,0b  0000  0000  0000  0101
1.027619562500000,0b  0000  0000  0000  0101
1.027620562500000,0b  0000  0000  0000  0111
1.027621562500000,0b  0000  0000  0000  0111
1.027622562500000,0b  0000  0000  0000  0101
1.027623562500000,0b  0000  0000  0000  0101
1.027624187500000,0b  0000  0000  0000  0111
1.027625187500000,0b  0000  0000  0000  0101
1.027626187500000,0b  0000  0000  0000  0101
1.027627187500000,0b  0000  0000  0000  0101
1.027628187500000,0b  0000  0000  0000  0111
1.027629187500000,0b  0000  0000  0000  0101
1.027630187500000,0b  0000  0000  0000  0111
1.027631312500000,0b  0000  0000  0000  0101
1.027632312500000,0b  0000  0000  0000  0111
1.027633312500000,0b  0000  0000  0000  0101
1.027634312500000,0b  0000  0000  0000  0101
1.027635312500000,0b  0000  0000  0000  0111
1.027636312500000,0b  0000  0000  0000  0101
1.027637312500000,0b  0000  0000  0000  0101
1.027638312500000,0b  0000  0000  0000  0101
1.027639312500000,0b  0000  0000  0000  0101
1.027640312500000,0b  0000  0000  0000  0101
1.027641312500000,0b  0000  0000  0000  0101
1.027642187500000,0b  0000  0000  0000  0111
1.027643187500000,0b  0000  0000  0000  0101
1.027644187500000,0b  0000  0000  0000  0101
1.027645187500000,0b  0000  0000  0000  0111
1.027646500000000,0b  0000  0000  0000  0101
1.027647500000000,0b  0000  0000  0000  0101
1.027648500000000,0b  0000  0000  0000  0101
1.027649500000000,0b  0000  0000  0000  0101
1.027650500000000,0b  0000  0000  0000  0101
1.027651500000000,0b  0000  0000  0000  0101
1.027652500000000,0b  0000  0000  0000  0111
1.027653500000000,0b  0000  0000  0000  0101
1.027654500000000,0b  0000  0000  0000  0101
1.027655500000000,0b  0000  0000  0000  0101
1.027656125000000,0b  0000  0000  0000  0111
1.027657125000000,0b  0000  0000  0000  0101
1.027658125000000,0b  0000  0000  0000  0101
1.027659125000000,0b  0000  0000  0000  0111
1.027660125000000,0b  0000  0000  0000  0101
1.027661125000000,0b  0000  0000  0000  0101
1.027662125000000,0b  0000  0000  0000  0111
1.027663250000000,0b  0000  0000  0000  0101
1.027664250000000,0b  0000  0000  0000  0101
1.027665250000000,0b  0000  0000  0000  0101
1.027666250000000,0b  0000  0000  0000  0101
1.027667250000000,0b  0000  0000  0000  0101
1.027668250000000,0b  0000  0000  0000  0101
1.027669250000000,0b  0000  0000  0000  0111
1.027670250000000,0b  0000  0000  0000  0101
1.027671250000000,0b  0000  0000  0000  0101
1.027672250000000,0b  0000  0000  0000  0101
1.027673250000000,0b  0000  0000  0000  0101
1.027674187500000,0b  0000  0000  0000  0111
1.027675187500000,0b  0000  0000  0000  0101
1.027676187500000,0b  0000  0000  0000  0101
1.027677187500000,0b  0000  0000  0000  0111
1.027678250000000,0b  0000  0000  0000  0101
1.027679250000000,0b  0000  0000  0000  0101
1.027680250000000,0b  0000  0000  0000  0101
1.027681250000000,0b  0000  0000  0000  0101
1.027682250000000,0b  0000  0000  0000  0101
1.027683250000000,0b  0000  0000  0000  0101
1.027684250000000,0b  0000  0000  0000  0101
1.027685250000000,0b  0000  0000  0000  0101
1.027686250000000,0b  0000  0000  0000  0101
1.027687250000000,0b  0000  0000  0000  0111
1.027688250000000,0b  0000  0000  0000  0111
1.027689312500000,0b  0000  0000  0000  0101
1.027690312500000,0b  0000  0000  0000  0101
1.027691312500000,0b  0000  0000  0000  0101
1.027692312500000,0b  0000  0000  0000  0101
1.027693312500000,0b  0000  0000  0000  0101
1.027694312500000,0b  0000  0000  0000  0101
1.027695312500000,0b  0000  0000  0000  0101
1.027696312500000,0b  0000  0000  0000  0101
1.027697312500000,0b  0000  0000  0000  0101
1.027698312500000,0b  0000  0000  0000  0101
1.027699312500000,0b  0000  0000  0000  0101
1.027700312500000,0b  0000  0000  0000  0101
1.027701312500000,0b  0000  0000  0000  0101
1.027702312500000,0b  0000  0000  0000  0101
1.027703312500000,0b  0000  0000  0000  0101
1.027704312500000,0b  0000  0000  0000  0101
1.027705312500000,0b  0000  0000  0000  0101
1.027706312500000,0b  0000  0000  0000  0101
1.027707312500000,0b  0000  0000  0000  0101
1.027708312500000,0b  0000  0000  0000  0101
1.027709312500000,0b  0000  0000  0000  0101
1.027710312500000,0b  0000  0000  0000  0101
1.027711312500000,0b  0000  0000  0000  0101
1.027712312500000,0b  0000  0000  0000  0101
1.027713312500000,0b  0000  0000  0000  0101
1.027714312500000,0b  0000  0000  0000  0101
1.027715312500000,0b  0000  0000  0000  0101
1.027716312500000,0b  0000  0000  0000  0101
1.027717312500000,0b  0000  0000  0000  0101
1.027718312500000,0b  0000  0000  0000  0101
1.027719312500000,0b  0000  0000  0000  0101
1.027720312500000,0b  0000  0000  0000  0111
1.027721312500000,0b  0000  0000  0000  0101
1.027722312500000,0b  0000  0000  0000  0101
1.027723312500000,0b  0000  0000  0000  0101
1.027724312500000,0b  0000  0000  0000  0111
1.027725312500000,0b  0000  0000  0000  0101
